,Title,Year,Metacritic,Internet Movie Database,Rotten Tomatoes,IMDB Votes
304,Looney Tunes: Back in Action,2003,0.64,0.5700000000000001,0.56,31791.0
305,Lost in Space,1998,0.42,0.52,0.28,68149.0
306,The Lost Skeleton of Cadavra,2001,0.45,0.7,0.52,4526.0
307,Mac and Me,1988,,0.33999999999999997,0.0,10835.0
308,The Man from Planet X,1951,,0.5700000000000001,1.0,2327.0
309,Man of Steel,2013,0.55,0.7,0.56,668647.0
310,The Man Who Fell to Earth,1976,0.81,0.67,0.83,22616.0
311,The Man Who Wasn't There,2001,0.73,0.75,0.81,100728.0
312,Mars Attacks!,1996,0.52,0.63,0.54,204110.0
313,Mars Needs Moms,2011,0.49,0.54,0.37,20441.0
314,Mars Needs Women,1967,,0.31,0.0,771.0
315,Martians Go Home,1990,,0.27999999999999997,,596.0
316,Max Steel,2016,0.22,0.45999999999999996,0.0,17621.0
317,Meatball Machine,2005,,0.5700000000000001,,1781.0
318,Meatballs Part 2,1984,,,,
319,Meet Dave,2008,0.43,0.5,0.2,37323.0
320,Megamind,2010,0.63,0.72,0.72,217881.0
321,Men in Black,1997,0.71,0.73,0.92,499085.0
322,Men in Black II,2002,0.49,0.62,0.39,332078.0
323,Men in Black 3,2012,0.58,0.6799999999999999,0.68,325268.0
324,Men in Black: International,2019,0.38,0.5700000000000001,0.23,93633.0
325,Metamorphosis: The Alien Factor,1990,,0.44000000000000006,,608.0
326,Mighty Morphin Power Rangers: The Movie,1995,0.4,0.52,0.37,24409.0
327,The Miracle of P. Tinto,1998,,0.72,,3295.0
328,Mission to Mars,2000,0.34,0.5700000000000001,,68756.0
329,Missile to the Moon,1958,,0.39,,910.0
330,Mom and Dad Save the World,1992,,0.54,0.09,4229.0
331,Monsters,2010,0.63,0.64,0.73,85783.0
332,Monsters: Dark Continent,2014,0.42,0.43,0.17,9720.0
333,Monsters vs. Aliens,2009,0.56,0.64,0.73,142324.0
334,The Monster X Strikes Back/Attack the G8 Summit,2008,,0.53,,322.0
335,Los Monstruos del Terror,1970,,,,
336,Monty Python's Life of Brian,1979,0.77,0.8099999999999999,0.95,353546.0
337,Morons from Outer Space,1985,,0.45,,1672.0
338,Muppets from Space,1999,0.53,0.63,0.63,17463.0
339,Mutant Swinger from Mars,2009,,0.62,,29.0
340,My Favorite Martian,1999,0.33,0.51,0.12,12448.0
341,My Stepmother is an Alien,1988,,0.53,0.19,24248.0
342,The Mysterians,1957,,0.61,,1294.0
343,New Mutants,2020,,,,
344,Nightbeast,1982,,0.4,,1217.0
345,Night Caller from Outer Space,1966,,,,
346,Night of the Blood Beast,1958,,0.31,,1590.0
347,Night of the Creeps,1986,0.62,0.6799999999999999,0.74,19447.0
348,Night Skies,2007,,0.45999999999999996,,2566.0
349,Not of This Earth,1957,,0.63,,1419.0
350,Not of This Earth,1988,,0.48,0.4,2055.0
351,Nowhere,1997,0.44,0.65,0.27,7966.0
352,Nude on the Moon,1961,,0.39,,683.0
353,Nukie,1987,,0.15,,1054.0
354,Oblivion,1994,,0.51,,1067.0
355,Oblivion,2013,0.54,0.7,0.53,471533.0
356,Outlander,2008,0.4,0.62,0.37,70506.0
357,Pacific Rim,2013,0.65,0.6900000000000001,0.72,454815.0
358,Pajama Party,1964,,0.45,0.33,788.0
359,Pandorum,2009,0.28,0.67,0.28,140163.0
360,Paul,2011,0.57,0.7,0.7,228547.0
361,Pee-wee's Big Holiday,2016,0.63,0.61,,6835.0
362,Phantom from Space,1953,,0.42000000000000004,,957.0
363,Phoenix Forgotten,2017,0.33,0.52,0.41,5158.0
364,The Phoenix Incident,2015,,0.5,0.5,1382.0
365,Pinocchio in Outer Space,1965,,0.62,0.4,181.0
366,Pitch Black,2000,0.49,0.71,0.59,220093.0
367,Pixels,2015,0.27,0.55,0.16,126253.0
368,Plan 9 from Outer Space,1959,,0.4,0.67,34826.0
369,Plan 10 from Outer Space,1994,,0.5900000000000001,,229.0
